1,49.5,0.369751
2,43.25,0.370059
3,51,0.33367
4,56.5,0.306053
5,61.75,0.28179
6,65.75,0.259672
7,69.75,0.239979
8,72.75,0.222901
9,76,0.208146
10,77.75,0.195252
11,78.75,0.183866
12,79.75,0.173757
13,81.25,0.164766
14,82.25,0.156752
15,82.75,0.14961
16,83.75,0.14329
17,84.75,0.137735
18,85,0.132857
19,85,0.128563
20,85,0.124764
21,85.25,0.121383
22,85.25,0.118353
23,86,0.115615
24,86,0.11312
25,86,0.110827
26,86,0.108702
27,86,0.106717
28,86.5,0.104848
29,86.5,0.103073
30,86.75,0.101375
31,86.75,0.099738
32,87,0.0981496
33,87.25,0.0965983
34,87.5,0.0950748
35,87.5,0.093571
36,88,0.0920799
37,88,0.0905956
38,88.5,0.089113
39,88.75,0.0876279
40,88.75,0.0861366
41,88.75,0.0846363
42,89.5,0.0831246
43,89.5,0.0815996
44,89.5,0.0800601
45,90.25,0.078505
46,90.25,0.0769339
47,90.5,0.0753469
48,91.5,0.0737444
49,91.5,0.0721275
50,91.5,0.0704977
51,92,0.0688571
52,92.25,0.0672085
53,92.5,0.0655547
54,92.75,0.0638993
55,93.25,0.0622459
56,93.75,0.0605982
57,93.75,0.0589597
58,94.25,0.057334
59,94.25,0.0557243
60,94.75,0.0541336
61,95,0.0525646
62,95.25,0.0510199
63,95.5,0.0495018
64,95.5,0.0480125
65,95.75,0.0465542
66,96,0.0451288
67,96,0.0437383
68,96,0.0423845
69,96.5,0.0410689
70,96.5,0.039793
71,96.5,0.0385579
72,97,0.0373648
73,97,0.0362141
74,97,0.0351063
75,97.5,0.0340416
76,97.5,0.0330197
77,97.5,0.0320401
78,97.75,0.0311023
79,98,0.0302054
80,98,0.0293483
81,98.25,0.0285299
82,98.25,0.0277487
83,98.5,0.0270036
84,98.5,0.026293
85,98.75,0.0256154
86,98.75,0.0249694
87,98.75,0.0243534
88,98.75,0.0237661
89,98.75,0.023206
90,98.75,0.0226716
91,98.75,0.0221617
92,98.75,0.0216749
93,98.75,0.02121
94,98.75,0.0207659
95,98.75,0.0203413
96,98.75,0.0199352
97,98.75,0.0195467
98,98.75,0.0191748
99,98.75,0.0188185
100,98.75,0.0184771
